CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn
6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,49,Male,4,88.35,Month-to-Month,Fiber Optic,353.4,Yes,Yes
d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,43,Male,0,36.67,Month-to-Month,Fiber Optic,0.0,Yes,Yes
4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,51,Female,2,63.79,Month-to-Month,Fiber Optic,127.58,No,Yes
4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,60,Female,8,102.34,One-Year,DSL,818.72,Yes,Yes
ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,42,Male,32,69.01,Month-to-Month,,2208.32,No,Yes
e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,42,Female,16,119.75,Two-Year,DSL,1916.0,Yes,Yes
7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,60,Male,14,80.32,One-Year,,1124.48,No,Yes
2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,52,Female,6,58.9,One-Year,,353.4,No,Yes
19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,40,Female,53,49.81,Two-Year,Fiber Optic,2639.9300000000003,Yes,No
4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,50,Female,10,61.55,Month-to-Month,Fiber Optic,615.5,Yes,Yes
4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,40,Female,1,63.53,Month-to-Month,Fiber Optic,63.53,Yes,Yes
6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918,40,Female,19,36.18,One-Year,Fiber Optic,687.42,Yes,No
3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278,47,Male,2,63.26,Two-Year,,126.52,No,Yes
8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,25,Female,8,71.78,One-Year,,574.24,No,Yes
